"name","source","type","year"
"SSG 08 - Jungle Dashed","The Ancient Collection","Souvenir",2020
"R8 Revolver - Night","The Ancient Collection","Souvenir",2020
"MP7 - Tall Grass","The Ancient Collection","Souvenir",2020
"G3SG1 - Ancient Ritual","The Ancient Collection","Souvenir",2020
"P2000 - Panther Camo","The Ancient Collection","Souvenir",2020
"CZ75 Auto - Silver","The Ancient Collection","Souvenir",2020
"FAMAS - Dark Water","The Ancient Collection","Souvenir",2020
"Galil AR - Dusk Ruins","The Ancient Collection","Souvenir",2020
"AUG - Carved Jade","The Ancient Collection","Souvenir",2020
"XM1014 - Ancient Lore","The Ancient Collection","Souvenir",2020
"MAC-10 - Gold Brick","The Ancient Collection","Souvenir",2020
"USP-S - Ancient Visions","The Ancient Collection","Souvenir",2020
"P90 - Run and Hide","The Ancient Collection","Souvenir",2020
"AK-47 - Panthera onca","The Ancient Collection","Souvenir",2020
"M4A1-S - Welcome to the Jungle","The Ancient Collection","Souvenir",2020
"Tec-9 - Blast From the Past","The Ancient Collection","Souvenir",2020
"XM1014 - Charter","The Control Collection","only standard",2020
"P250 - Forest Night","The Control Collection","only standard",2020
"CZ75 Auto - Jungle Dashed","The Control Collection","only standard",2020
"AUG - Surveillance","The Control Collection","only standard",2020
"MAG-7 - Carbon Fiber","The Control Collection","only standard",2020
"MP9 - Army Sheen","The Control Collection","only standard",2020
"Desert Eagle - The Bronze","The Control Collection","only standard",2020
"Dual Berettas - Switch Board","The Control Collection","only standard",2020
"MP5-SD - Nitro","The Control Collection","only standard",2020
"SSG 08 - Threat Detected","The Control Collection","only standard",2020
"SCAR-20 - Magna Carter","The Control Collection","only standard",2020
"M4A4 - Global Offensive","The Control Collection","only standard",2020
"FAMAS - Prime Conspiracy","The Control Collection","only standard",2020
"UMP-45 - Crime Scene","The Control Collection","only standard",2020
"Five-SeveN - Berries and Cherries","The Control Collection","only standard",2020
"USP-S - Target Acquired","The Control Collection","only standard",2020
